City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,300.14,78,40,4.63,CC,1711757244
1,kingston,17.997,-76.7936,301.68,71,20,2.06,JM,1711757140
2,okakarara,-20.5833,17.4333,292.77,71,54,2.31,NA,1711757246
3,tindouf,27.6711,-8.1474,286.47,65,1,7.86,DZ,1711757247
4,dunedin,-45.8742,170.5036,286.37,77,69,1.34,NZ,1711757248
5,archidona,37.0965,-4.3887,281.15,93,83,3.03,ES,1711757249
6,severo-yeniseyskiy,60.3725,93.0408,266.25,87,99,5.81,RU,1711757249
7,ilulissat,69.2167,-51.1,259.16,85,21,1.03,GL,1711757191
8,nuuk,64.1835,-51.7216,269.49,68,10,3.09,GL,1711757251
9,sayat,38.7839,63.8803,277.08,36,99,3.79,TM,1711757252
10,hammerfest,70.6634,23.6821,269.4,80,100,2.57,NO,1711757253
11,port-aux-francais,-49.35,70.2167,281.39,97,100,11.61,TF,1711757254
12,nabire,-3.3667,135.4833,302.17,71,88,0.42,ID,1711757087
13,invercargill,-46.4,168.35,286.49,84,94,1.79,NZ,1711757255
14,xinpu,34.5997,119.1594,288.0,83,23,2.33,CN,1711757256
15,yuzhno-kurilsk,44.0306,145.8556,279.47,79,78,7.32,RU,1711757257
16,punta arenas,-53.15,-70.9167,275.99,86,46,8.44,CL,1711757257
17,bredy,52.4153,60.3411,267.4,87,39,4.01,RU,1711757258
18,cidreira,-30.1811,-50.2056,293.09,89,67,4.41,BR,1711757259
19,yellowknife,62.456,-114.3525,266.44,53,20,3.6,CA,1711757008
20,adi keyh,14.8444,39.3772,290.07,64,80,0.86,ER,1711757260
21,whitehorse,60.7161,-135.0538,279.16,39,81,2.24,CA,1711757261
22,yorkton,51.2167,-102.4677,272.06,74,100,6.17,CA,1711756996
23,mount pearl,47.5166,-52.7813,282.29,93,100,3.24,CA,1711757262
24,albany,42.6001,-73.9662,276.99,61,39,2.68,US,1711756586
25,papatowai,-46.5619,169.4708,286.72,68,85,2.92,NZ,1711757264
26,puerto natales,-51.7236,-72.4875,277.44,72,69,7.91,CL,1711757190
27,selibaby,15.159,-12.1829,304.18,20,97,6.58,MR,1711757265
28,edinburgh of the seven seas,-37.0676,-12.3116,289.08,67,61,7.55,SH,1711757266
29,iqaluit,63.7506,-68.5145,263.54,78,100,2.68,CA,1711757267
30,hadibu,12.65,54.0333,298.92,68,66,3.79,YE,1711757268
31,codrington,-38.2667,141.9667,292.77,48,5,3.19,AU,1711757268
32,grytviken,-54.2811,-36.5092,277.01,67,100,5.72,GS,1711757269
33,adamstown,-25.066,-130.1015,296.67,71,100,12.31,PN,1711757270
34,port elizabeth,-33.918,25.5701,292.65,96,73,1.34,ZA,1711757270
35,usogorsk,63.4106,48.6872,274.08,99,100,2.1,RU,1711757271
36,georgetown,5.4112,100.3354,298.11,94,40,0.0,MY,1711757272
37,olonets,60.9847,32.9698,276.13,99,100,2.63,RU,1711757273
38,bredasdorp,-34.5322,20.0403,290.53,84,90,4.12,ZA,1711757274
39,tahe,52.3333,124.7333,262.43,86,100,5.63,CN,1711757275
40,talnakh,69.4865,88.3972,261.88,94,100,7.36,RU,1711757127
41,ujae,8.9322,165.7642,300.76,76,99,10.03,MH,1711757276
42,college,64.8569,-147.8028,279.15,38,75,3.09,US,1711757277
43,badger,64.8,-147.5333,279.1,37,20,3.09,US,1711757278
